n_components,fold,ari,svm_auc_pseudo,svm_auc_truth,rf_auc_pseudo,rf_auc_truth
gmm_2,1,0.8453551823665061,1.0,1.0,1.0,1.0
gmm_2,2,0.8786222562765017,0.9914529914529916,0.99002849002849,0.962962962962963,0.98005698005698
gmm_2,3,0.8451050238812098,0.9944598337950138,0.9944598337950138,0.9958448753462604,0.9916897506925209
gmm_2,4,0.8615800015200729,0.97008547008547,0.98005698005698,0.943732193732194,0.965099715099715
gmm_2,5,0.8288240920740884,0.9985754985754984,1.0,1.0,1.0
gmm_3,1,0.8288204822001071,1.0,1.0,1.0,1.0
gmm_3,2,0.8448558291346602,0.9857549857549855,0.9857549857549855,0.9465811965811964,0.987891737891738
gmm_3,3,0.9123754954985028,0.9958448753462604,0.997229916897507,0.9930747922437672,0.9875346260387812
gmm_3,4,0.9125170108263084,0.9814814814814814,0.9814814814814814,0.9743589743589742,0.9843304843304844
gmm_3,5,0.8285479564282722,0.9971509971509972,1.0,1.0,1.0
gmm_112,1,0.8139979714022313,0.9986149584487536,1.0,1.0,1.0
gmm_112,2,0.8960020290370201,0.9715099715099716,1.0,0.9971509971509972,1.0
gmm_112,3,0.8462274212425739,0.9722991689750694,1.0,0.9958448753462604,0.997229916897507
gmm_112,4,0.8463900050287656,0.98005698005698,1.0,1.0,0.9985754985754984
gmm_112,5,0.8627539420670609,1.0,1.0,1.0,1.0
kmeans_2,1,0.7824522271274591,1.0,1.0,1.0,1.0
kmeans_2,2,0.7067057186646635,0.9857549857549855,0.99002849002849,0.9658119658119658,0.98005698005698
kmeans_2,3,0.607016345147593,0.9861495844875348,0.9944598337950138,0.9750692520775622,0.9916897506925209
kmeans_2,4,0.6920083642754495,0.9643874643874644,0.98005698005698,0.9757834757834758,0.965099715099715
kmeans_2,5,0.8301978439626265,1.0,1.0,1.0,1.0
kmeans_3,1,0.7824522271274591,1.0,1.0,1.0,1.0
kmeans_3,2,0.7067057186646635,0.9871794871794872,0.9857549857549855,0.9893162393162392,0.987891737891738
kmeans_3,3,0.607016345147593,0.9930747922437674,0.997229916897507,0.9778393351800556,0.9875346260387812
kmeans_3,4,0.7067057186646635,0.9572649572649572,0.9814814814814814,0.9928774928774928,0.9843304843304844
kmeans_3,5,0.8301978439626265,1.0,1.0,0.9964387464387464,1.0
kmeans_112,1,0.8300266119914401,1.0,1.0,1.0,1.0
kmeans_112,2,0.8960020290370201,0.9715099715099716,1.0,0.9971509971509972,1.0
kmeans_112,3,0.8462274212425739,0.9722991689750694,1.0,0.9958448753462604,0.997229916897507
kmeans_112,4,0.8463900050287656,0.98005698005698,1.0,1.0,0.9985754985754984
kmeans_112,5,0.8301978439626265,1.0,1.0,1.0,1.0
umap_hier_bad,1,0.11392231981007123,0.5526315789473685,0.8940443213296398,0.6142659279778393,0.9515235457063712
umap_hier_bad,2,0.11356928245459302,0.5612535612535612,0.8945868945868946,0.6111111111111112,0.8668091168091168
umap_hier_bad,3,0.13320517445002414,0.49584487534626037,0.9570637119113573,0.5360110803324101,0.9861495844875345
umap_hier_bad,4,0.10843407730219774,0.7022792022792024,0.9601139601139601,0.6367521367521368,0.9658119658119658
umap_hier_bad,5,0.11781161916165497,0.6339031339031339,0.9658119658119658,0.5690883190883191,0.9693732193732193
